RID,原文斷詞,原文出題,原文答案,原文規則,原文出題規則,原文出題答案
23,小方_人1 打電話_v1 給_v2 小亮_人2,小方打電話給誰?,小亮,人1 + v1 + v2 + 人2,人1 + v1 + v2 + 誰,人2
24,小方_人1 打電話_v1 給_v2 小亮_人2,誰打電話給小亮?,小方,人1 + v1 + v2 + 人2,誰 + v1 + v2 + 人2,人1
25,小方_人1 說_v1 ：_w1 「_w2 小亮_人2 ，_w3 明天_時1 是_vshi1 我_人3 生日_物1 ，_w4 請_v2 你_人4 來_v3 我家_r1 好_a1 嗎_y1 ？_w5 」_w6,小方請誰來他家?,小亮,人1 + v1 + w1 + w2 + 人2 + w3 + 時1 + vshi1 + 人3 + 物1 + w4 + v2 + 人4 + v3 + r1 + a1 + y1 + w5 + w6,人1 + v2 + 誰 + v3,人2
26,小方_人1 在_p1 學校_物1 裡_f1 ，_w1 學會_v1 了_y1 很多_m1 詞語_物2,小方在學校學會什麼?,詞語,人1 + p1 + 物1 + f1 + w1 + v1 + y1 + m1 + 物2,人1 + p1 + 物1 + v1 + 什麼,物2
27,他_人1 聽到_v1 媽媽_人2 說_v2 ：_w1 「_w2 我_r1 買_v3 了_y1 一_m1 件_q1 新_a1 衣服_物1 ，_w3 很_d1 滿意_v4 。_w4 」_w5,媽媽說買了一件什麼很滿意?,衣服,人1 + v1 + 人2 + v2 + w1 + w2 + r1 + v3 + y1 + m1 + q1 + a1 + 物1 + w3 + d1 + v4 + w4 + w5,人2 + v2 + v3 + y1 + m1 + q1 + 什麼 + d1 + v4,物1
28,他_人1 聽到_v1 媽媽_人2 說_v2 ：_w1 「_w2 我_r1 買_v3 了_y1 一_m1 件_q1 新_a1 衣服_物1 ，_w3 很_d1 滿意_v4 。_w4 」_w5,誰買了一件新衣服?,他,人1 + v1 + 人2 + v2 + w1 + w2 + r1 + v3 + y1 + m1 + q1 + a1 + 物1 + w3 + d1 + v4 + w4 + w5,誰 + v3 + y1 + m1 + q1 + a1 + 物1,人1
29,他_人1 聽到_v1 爸爸_人2 說_v2 ：_w1 「_w2 我_r1 做_v3 完_v4 一_m1 件_q1 事_物1 ，_w3 很_d1 得意_a1 。_w4 」_w5,爸爸說做完什麼很得意?,事,人1 + v1 + 人2 + v2 + w1 + w2 + r1 + v3 + v4 + m1 + q1 + 物1 + w3 + d1 + a1 + w4 + w5,人2 + v2 + v3 + v4 + 什麼 + d1 + a1,物1
30,他_人1 聽到_v1 哥哥_人2 說_v2 ：_w1 「_w2 我_r1 跟_p1 校長_物1 一起_d1 照相_v3 ，_w3 很_d2 神氣_a1 。_w4 」_w5,哥哥跟誰一起拍照?,他,人1 + v1 + 人2 + v2 + w1 + w2 + r1 + p1 + 物1 + d1 + v3 + w3 + d2 + a1 + w4 + w5,人2 + p1 + 誰 + d1,人1
31,我_人1 做_v1 一_m1 條_q1 船_物1 ，_w1 送給_v2 姐姐_物2 坐_v3 ，_w2 姐姐_人2 要_v4 去_v5 看_v6 外婆_物3 。_w3,我做一條船給誰去看外婆?,姐姐,人1 + v1 + m1 + q1 + 物1 + w1 + v2 + 物2 + v3 + w2 + 人2 + v4 + v5 + v6 + 物3 + w3,人1 + v1 + m1 + q1 + 物1 + 誰 + v5 + v6 + 物3,人2
32,我_人1 做_v1 一_m1 條_q1 船_物1 ，_w1 送給_v2 姐姐_物2 坐_v3 ，_w2 姐姐_人2 要_v4 去_v5 看_v6 外婆_物3 。_w3,姊姊坐船去看誰?,我,人1 + v1 + m1 + q1 + 物1 + w1 + v2 + 物2 + v3 + w2 + 人2 + v4 + v5 + v6 + 物3 + w3,v3 + 物1 + v5 + v6 + 誰,人1
33,我_人1 做_v1 一_m1 條_q1 船_物1 ，_w1 送給_v2 哥哥_物2 坐_v3 ，_w2 哥哥_人2 出海_v4 去_v5 打魚_v6,我做一條船給誰去打魚?,哥哥,人1 + v1 + m1 + q1 + 物1 + w1 + v2 + 物2 + v3 + w2 + 人2 + v4 + v5 + v6,人1 + v1 + m1 + q1 + 物1 + 誰 + v5 + v6,人2
34,我_人1 做_v1 一_m1 條_q1 船_物1 ，_w1 送給_v2 弟弟_物2 坐_v3 ，_w2 弟弟_物3 ，_w3 弟弟_物4 ！_w4 你_人2 要_v4 到_v5 哪裡_r1 ？_w5,弟弟坐船要到哪裡?,我,人1 + v1 + m1 + q1 + 物1 + w1 + v2 + 物2 + v3 + w2 + 物3 + w3 + 物4 + w4 + 人2 + v4 + v5 + r1 + w5,誰 + 物1 + 物2 + v3 + v4 + v5 + r1,人1
35,妹妹_人1 學_v1 數數兒_物1,妹妹學什麼?,數數兒,人1 + v1 + 物1,人1 + v1 + 什麼,物1
36,他_人1 怕_v1 少_a1 了_y1 牛_物1 ，_w1 一面_d1 走_v2 ，_w2 一_m1 面_q1 數_物2,他一面走一面數怕什麼?,牛,人1 + v1 + a1 + y1 + 物1 + w1 + d1 + v2 + w2 + m1 + q1 + 物2,人1 + d1 + v2 + d1 + 物2 + v1 + 什麼,物1
37,媽媽_人1 在_p1 院子_物1 裡_f1 掃地_v1,誰在院子裡掃地?,媽媽,人1 + p1 + 物1 + f1 + v1,誰 + p1 + 物1 + f1 + v1,人1
38,爸爸_人1 在_p1 院子_物1 裡_f1 澆_v1 花_物2,爸爸在院子裡做什麼?,花,人1 + p1 + 物1 + f1 + v1 + 物2,人1 + p1 + 物1 + f1 + 什麼,物2
39,爸爸_人1 在_p1 院子_物1 裡_f1 澆_v1 花_物2,誰在院子裡澆花?,爸爸,人1 + p1 + 物1 + f1 + v1 + 物2,誰 + p1 + 物1 + f1 + v1 + 物2,人1
40,我_人1 在_p1 院子_物1 裡_f1 拍_v1 皮球_物2,誰在院子裡拍皮球?,我,人1 + p1 + 物1 + f1 + v1 + 物2,誰 + p1 + 物1 + f1 + v1 + 物2,人1
41,我_人1 在_p1 院子_物1 裡_f1 拍_v1 皮球_物2,我在院子做什麼?,皮球,人1 + p1 + 物1 + f1 + v1 + 物2,人1 + p1 + 物1 + 什麼,物2
42,小_a1 狗_人1 在_p1 院子_物1 裡_f1 追_v1 小_a2 貓_物2 ，_w1 小_a3 貓_物3 一_d1 跳_v2 ，_w2 跳_v3 到_v4 大樹_物4 上_f2,誰跳到大樹上?,狗,a1 + 人1 + p1 + 物1 + f1 + v1 + a2 + 物2 + w1 + a3 + 物3 + d1 + v2 + w2 + v3 + v4 + 物4 + f2,誰 + v2 + v4 + 物4 + f2,人1
43,今天_t1 老師_人1 說_v1 了_y1 一個_m1 笑話_物1,誰說了一個笑話?,老師,t1 + 人1 + v1 + y1 + m1 + 物1,誰 + v1 + y1 + m1 + 物1,人1
44,有_vyou1 一個_m1 人_人1 向_p1 畫家_物1 要_v1 一_m2 張_q1 畫_物2,向畫家要什麼物品?,畫,vyou1 + m1 + 人1 + p1 + 物1 + v1 + m2 + q1 + 物2,p1 + 物1 + v1 + 什麼物品,物2
45,有_vyou1 一個_m1 人_人1 向_p1 畫家_物1 要_v1 一_m2 張_q1 畫_物2,向誰要一張畫?,人,vyou1 + m1 + 人1 + p1 + 物1 + v1 + m2 + q1 + 物2,p1 + 誰 + v1 + m2 + q1 + 物2,人1
46,畫家_人1 送_v1 他_人2 一_m1 張_q1 白紙_物1,畫家送他什麼?,白紙,人1 + v1 + 人2 + m1 + q1 + 物1,人1 + v1 + 人2 + 什麼,物1
47,畫家_人1 說_v1 ：_w1 「_w2 我_人2 畫_v2 一_m1 頭_q1 牛_物1 在_p1 吃_v3 草_物2 。_w3 」_w4,畫家說他畫什麼在吃草?,牛,人1 + v1 + w1 + w2 + 人2 + v2 + m1 + q1 + 物1 + p1 + v3 + 物2 + w3 + w4,人1 + v1 + v2 + 什麼 + p1 + v3 + 物2,物1
48,那_人1 人_人2 問_v1 ：_w1 「_w2 草_物1 在_v2 哪裡_r1 ？_w3 」_w4,那人問什麼在哪裡?,草,人1 + 人2 + v1 + w1 + w2 + 物1 + v2 + r1 + w3 + w4,人1 + 人2 + v1 + 什麼 + v2 + r1,物1
49,畫家_人1 說_v1 ：_w1 「_w2 草_物1 被_p1 牛_物2 吃_v2 了_y1 。_w3 」_w4,草被誰吃了?,畫家,人1 + v1 + w1 + w2 + 物1 + p1 + 物2 + v2 + y1 + w3 + w4,物1 + p1 + 誰 + v2 + y1,人1
50,那個_人1 人_人2 又_d1 問_v1 ：_w1 「_w2 牛_物1 在_v2 哪裡_r1 ？_w3 」_w4,那個人又問什麼在哪裡?,牛,人1 + 人2 + d1 + v1 + w1 + w2 + 物1 + v2 + r1 + w3 + w4,人1 + 人2 + d1 + v1 + 什麼 + v2 + r1,物1
51,泰國_時1 有_vyou1 很多_m1 大象_物1,泰國有很多什麼?,大象,時1 + vyou1 + m1 + 物1,時1 + vyou1 + m1 + 什麼,物1
52,爸爸_人1 帶_v1 我_人2 去_v2 李_nr1 爺爺_物1 家_物2 看_v3 大象_物3,爸爸帶誰去李爺爺家看大象?,我,人1 + v1 + 人2 + v2 + nr1 + 物1 + 物2 + v3 + 物3,人1 + v1 + 誰 + v2 + nr1 + 物1 + 物2 + v3 + 物3,人2
53,爸爸_人1 帶_v1 我_人2 去_v2 李_nr1 爺爺_物1 家_物2 看_v3 大象_物3,誰帶我去李爺爺家看大象?,爸爸,人1 + v1 + 人2 + v2 + nr1 + 物1 + 物2 + v3 + 物3,誰 + v1 + 人2 + v2 + nr1 + 物1 + 物2 + v3 + 物3,人1
54,爸爸_人1 帶_v1 我_人2 去_v2 李_nr1 爺爺_物1 家_物2 看_v3 大象_物3,爸爸帶我去看什麼?,爺爺,人1 + v1 + 人2 + v2 + nr1 + 物1 + 物2 + v3 + 物3,人1 + v1 + 人2 + v2 + v3 + 什麼,物1
55,我_人1 看到_v1 大象_物1 有_vyou1 一_m1 條_q1 長長的_z1 鼻子_物2,大象有長長的什麼?,鼻子,人1 + v1 + 物1 + vyou1 + m1 + q1 + z1 + 物2,物1 + vyou1 + z1 + 什麼,物2
,,,,,,
57,有_vyou1 兩_m1 隻_q1 大大_b1 的_u1 耳朵_物1,有大大的什麼?,耳朵,vyou1 + m1 + q1 + b1 + u1 + 物1,vyou1 + b1 + u1 + 什麼,物1
58,還有_v1 四_m1 隻_q1 粗粗_a1 的_u1 腿_物1,有粗粗的什麼?,腿,v1 + m1 + q1 + a1 + u1 + 物1,a1 + u1 + 什麼,物1
59,我_人1 喜歡_v1 大象_物1,我喜歡什麼?,大象,人1 + v1 + 物1,人1 + v1 + 什麼,物1
60,爬_v1 到_v2 樹上_s1 吃_v3 葉子_物1,爬到樹上吃什麼?,葉子,v1 + v2 + s1 + v3 + 物1,v1 + v2 + s1 + v3 + 什麼,物1
61,爬_v1 到_v2 樹上_s1 去_v3 喝_v4 水_物1,爬到樹上去做什麼?,水,v1 + v2 + s1 + v3 + v4 + 物1,v1 + v2 + s1 + v3 + 什麼,物1
62,快快_d1 長大_v1 變_v2 蝴蝶_物1,快快長大變什麼?,蝴蝶,d1 + v1 + v2 + 物1,d1 + v1 + v2 + 什麼,物1
63,夏天_物1 的_u1 晚上_物2,什麼天的晚上?,夏天,物1 + u1 + 物2,什麼 + u1 + 物2,物1
64,看_v1 天上_物1 的_u1 星星_物2,看天上的什麼?,星星,v1 + 物1 + u1 + 物2,v1 + 物1 + u1 + 什麼,物2
65,一閃一閃_a1 的_u1 ，_w1 連成_v1 了_y1 一_m1 條_q1 星河_物1,一閃一閃連成了什麼?,星河,a1 + u1 + w1 + v1 + y1 + m1 + q1 + 物1,a1 + v1 + y1 + 什麼,物1
66,天空_人1 出現_v1 了_y1 一_m1 道_q1 彩虹_物1,天空出現了什麼?,彩虹,人1 + v1 + y1 + m1 + q1 + 物1,人1 + v1 + y1 + 什麼,物1
67,美麗_a1 的_u1 虹_物1,美麗的什麼?,虹,a1 + u1 + 物1,a1 + u1 + 什麼,物1
68,彎彎的_z1 ，_w1 像_v1 一_m1 座_q1 橋_物1,像一座什麼?,橋,z1 + w1 + v1 + m1 + q1 + 物1,v1 + m1 + q1 + 什麼,物1
69,彎彎的_z1 彩虹_物1 上_f1 ，_w1 有_vyou1 許多_m1 顏色_物2,彩虹有許多什麼?,顏色,z1 + 物1 + f1 + w1 + vyou1 + m1 + 物2,物1 + vyou1 + m1 + 什麼,物2
70,是_vshi1 一_m1 座_q1 七_m2 色_物1 的_u1 橋_物2,是一座七色的什麼?,橋,vshi1 + m1 + q1 + m2 + 物1 + u1 + 物2,vshi1 + m1 + q1 + m2 + 物1 + u1 + 什麼,物2
71,我_人1 要_v1 趕快_d1 把_p1 美麗_a1 的_u1 彩虹_物1 畫_v2 下來_v3,我要趕快把什麼東西畫下來?,彩虹,人1 + v1 + d1 + p1 + a1 + u1 + 物1 + v2 + v3,人1 + v1 + d1 + p1 + 什麼東西 + v2 + v3,物1
72,媽媽_人1 說_v1 ：_w1 「_w2 天氣_物1 暖和_a1 了_y1 ，_w3 春天_時1 來_v2 了_y2 。_w4 」_w5,天氣暖和什麼時候了?,春天,人1 + v1 + w1 + w2 + 物1 + a1 + y1 + w3 + 時1 + v2 + y2 + w4 + w5,物1 + a1 + 什麼時候 + y1,時1
73,爸爸_人1 對_p1 我們_人2 說_v1 ：_w1 「_w2 種_v2 樹_物1 很_d1 重要_a1 ，_w3 我們_人3 來_v3 種樹_v4 吧_y1 ！_w4 」_w5,爸爸說什麼很重要?,樹,人1 + p1 + 人2 + v1 + w1 + w2 + v2 + 物1 + d1 + a1 + w3 + 人3 + v3 + v4 + y1 + w4 + w5,人1 + v1 + 什麼 + d1 + a1,物1
74,爸爸_人1 種_v1 的_u1 是_vshi1 松樹_物1,誰種松樹?,爸爸,人1 + v1 + u1 + vshi1 + 物1,誰 + v1 + 物1,人1
75,爸爸_人1 種_v1 的_u1 是_vshi1 松樹_物1,爸爸種什麼?,松樹,人1 + v1 + u1 + vshi1 + 物1,人1 + v1 + 什麼,物1
76,他_人1 說_v1 松樹_物1 不怕_v2 風雨_物2 ，_w1 活_v3 得_u1 長_a1,松樹不怕什麼?,風雨,人1 + v1 + 物1 + v2 + 物2 + w1 + v3 + u1 + a1,物1 + v2 + 什麼,物2
77,我_人1 種_v1 了_y1 山_物1 茶花_物2,我種了什麼?,山,人1 + v1 + y1 + 物1 + 物2,人1 + v1 + y1 + 什麼,物1
78,我_人1 種_v1 了_y1 山_物1 茶花_物2,誰種了山茶花?,我,人1 + v1 + y1 + 物1 + 物2,誰 + v1 + y1 + 物1 + 物2,人1
79,弟弟_人1 要_v1 種_v2 香蕉_物1,弟弟種了什麼?,香蕉,人1 + v1 + v2 + 物1,人1 + v2 + 什麼,物1
80,弟弟_人1 要_v1 種_v2 香蕉_物1,誰要種香蕉?,弟弟,人1 + v1 + v2 + 物1,誰 + v1 + v2 + 物1,人1
81,媽媽_人1 說_v1 ：_w1 「_w2 你們_人2 種_v2 樹_物1 ，_w3 我_人3 來_v3 澆水_v4,誰澆水?,媽媽,人1 + v1 + w1 + w2 + 人2 + v2 + 物1 + w3 + 人3 + v3 + v4,誰 + v4,人1
82,媽媽_人1 說_v1 ：_w1 「_w2 你們_人2 種_v2 樹_物1 ，_w3 我_人3 來_v3 澆水_v4,媽媽來做什麼?,樹,人1 + v1 + w1 + w2 + 人2 + v2 + 物1 + w3 + 人3 + v3 + v4,人1 + v3 + 什麼,物1
83,大象_人1 用_p1 鼻子_人2 拿_v1 起_v2 彩色_b1 筆畫_物1 圖_物2,大象用什麼拿起彩色筆?,筆畫,人1 + p1 + 人2 + v1 + v2 + b1 + 物1 + 物2,人1 + p1 + 什麼 + v1 + v2 + b1,物1
84,大象_人1 用_p1 鼻子_人2 拿_v1 起_v2 彩色_b1 筆畫_物1 圖_物2,大象用鼻子拿起什麼東西?,筆畫,人1 + p1 + 人2 + v1 + v2 + b1 + 物1 + 物2,人1 + p1 + 人2 + v1 + v2 + 什麼東西,物1
85,大象_人1 用_p1 鼻子_人2 拿_v1 起_v2 彩色_b1 筆畫_物1 圖_物2,大象用彩色筆做什麼?,筆畫,人1 + p1 + 人2 + v1 + v2 + b1 + 物1 + 物2,人1 + p1 + b1 + 什麼,物1
86,大象_人1 用_p1 鼻子_人2 拿_v1 起_v2 彩色_b1 筆畫_物1 圖_物2,誰用彩色筆畫圖?,大象,人1 + p1 + 人2 + v1 + v2 + b1 + 物1 + 物2,誰 + p1 + b1 + 物1 + 物2,人1
87,弟弟_人1 看_v1 了_y1 說_v2 ：_w1 「_w2 大象_物1 真_d1 像_v3 個_q1 大_a1 畫家_物2 。_w3 」_w4,大象像什麼?,畫家,人1 + v1 + y1 + v2 + w1 + w2 + 物1 + d1 + v3 + q1 + a1 + 物2 + w3 + w4,物1 + v3 + 什麼,物2
88,有的_人1 大象_人2 跟_p1 著_v1 音樂_物1 跳舞_v2,誰跟著音樂跳舞?,有的,人1 + 人2 + p1 + v1 + 物1 + v2,誰 + p1 + v1 + 物1 + v2,人1
89,有的_人1 大象_人2 跟_p1 著_v1 音樂_物1 跳舞_v2,大象跟著什麼跳舞?,音樂,人1 + 人2 + p1 + v1 + 物1 + v2,人2 + p1 + v1 + 什麼 + v2,物1
90,一邊_d1 跳舞_v1 ，_w1 一邊_d2 向_p1 大家_人1 要_v2 香蕉_物1 吃_v3,向大家要什麼吃?,香蕉,d1 + v1 + w1 + d2 + p1 + 人1 + v2 + 物1 + v3,p1 + 人1 + v2 + 什麼 + v3,物1
91,媽媽_人1 買_v1 了_y1 香蕉_物1 拿給_v2 大象_物2,媽媽買了什麼拿給大象?,香蕉,人1 + v1 + y1 + 物1 + v2 + 物2,人1 + v1 + y1 + 什麼 + v2 + 物2,物1
92,烏鴉_人1 正_d1 想_v1 找_v2 水_物1 喝_v3 的_u1 時候_物2,烏鴉正想做什麼的時候?,水,人1 + d1 + v1 + v2 + 物1 + v3 + u1 + 物2,人1 + d1 + v1 + 什麼 + u1 + 物2,物1
93,烏鴉_人1 正_d1 想_v1 找_v2 水_物1 喝_v3 的_u1 時候_物2,誰正想找水喝的時候?,烏鴉,人1 + d1 + v1 + v2 + 物1 + v3 + u1 + 物2,誰 + d1 + v1 + v2 + 物1 + v3 + u1 + 物2,人1
94,看見_v1 了_y1 一個_m1 水瓶_物1,看見了什麼東西?,水瓶,v1 + y1 + m1 + 物1,v1 + y1 + 什麼東西,物1
,,,,,,
96,他_人1 喝_v1 不_d1 到_v2 瓶_物1 裡_f1 的_u1 水_物2,他喝不到瓶裡的什麼?,水,人1 + v1 + d1 + v2 + 物1 + f1 + u1 + 物2,人1 + v1 + d1 + v2 + 物1 + f1 + u1 + 什麼,物2
97,他_人1 把_p1 許多_m1 小_a1 石子_物1 ，_w1 放到_v1 水瓶_物2 裡_f1,他把什麼放進水瓶裡?,石子,人1 + p1 + m1 + a1 + 物1 + w1 + v1 + 物2 + f1,人1 + p1 + 什麼 + 物2 + f1,物1
98,小方_人1 在_p1 學校_物1 裡_f1,誰在學校裡?,小方,人1 + p1 + 物1 + f1,誰 + p1 + 物1 + f1,人1
99,學會_v1 了_y1 很多_m1 詞語_物1,學會了很多什麼?,詞語,v1 + y1 + m1 + 物1,v1 + y1 + m1 + 什麼,物1
100,現在_時1 他_人1 很_d1 注意_v1 聽_v2 大家_人2 說_v3 的_u1 話_物1,現在很注意大家的什麼?,話,時1 + 人1 + d1 + v1 + v2 + 人2 + v3 + u1 + 物1,時1 + d1 + v1 + 人2 + u1 + 什麼,物1
101,他_人1 聽到_v1 媽媽_人2 說_v2 ：_w1 「_w2 我_r1 買_v3 了_y1 一_m1 件_q1 新_a1 衣服_物1 ，_w3 很_d1 滿意_v4 。_w4 」_w5,媽媽買了什麼?,衣服,人1 + v1 + 人2 + v2 + w1 + w2 + r1 + v3 + y1 + m1 + q1 + a1 + 物1 + w3 + d1 + v4 + w4 + w5,人2 + v3 + y1 + 什麼,物1
102,他_人1 聽到_v1 媽媽_人2 說_v2 ：_w1 「_w2 我_r1 買_v3 了_y1 一_m1 件_q1 新_a1 衣服_物1 ，_w3 很_d1 滿意_v4 。_w4 」_w5,誰買了一件新衣服?,他,人1 + v1 + 人2 + v2 + w1 + w2 + r1 + v3 + y1 + m1 + q1 + a1 + 物1 + w3 + d1 + v4 + w4 + w5,誰 + v3 + y1 + m1 + q1 + a1 + 物1,人1
103,他_人1 聽到_v1 哥哥_人2 說_v2 ：_w1 「_w2 我_r1 跟_p1 校長_物1 一起_d1 照相_v3 ，_w3 很_d2 神氣_a1 。_w4 」_w5,哥哥跟誰一起照相很神氣?,他,人1 + v1 + 人2 + v2 + w1 + w2 + r1 + p1 + 物1 + d1 + v3 + w3 + d2 + a1 + w4 + w5,人2 + p1 + 誰 + d1 + v3 + d2 + a1,人1
104,今天_時1 放假_v1 ，_w1 爸爸_人1 帶_v2 我_人2 和_c1 弟弟_物1 去_v3 動物園_物2,誰帶我和弟弟去動物園?,爸爸,時1 + v1 + w1 + 人1 + v2 + 人2 + c1 + 物1 + v3 + 物2,誰 + v2 + 人2 + c1 + 物1 + v3 + 物2,人1
105,我_人1 在_p1 動物園_物1 門口_s1,誰在動物園門口?,我,人1 + p1 + 物1 + s1,誰 + p1 + 物1 + s1,人1
106,他們_人1 也_d1 來_v1 看_v2 動物_物1,他們也來看什麼?,動物,人1 + d1 + v1 + v2 + 物1,人1 + d1 + v1 + v2 + 什麼,物1
107,在_p1 動物園_物1 裡_f1 ，_w1 我_人1 看到_v1 可愛_a1 的_u1 山羊_物2 高大_a2 的_u2 水牛_物3,在動物園我們看到什麼?,山羊,p1 + 物1 + f1 + w1 + 人1 + v1 + a1 + u1 + 物2 + a2 + u2 + 物3,p1 + 物1 + 人1 + v1 + 什麼,物2
108,還_d1 看到_v1 許多_m1 小_a1 猴子_物1 在_p1 樹上_s1 跳_v2 來_v3 跳_v4 去_v5,看到什麼在樹上跳?,猴子,d1 + v1 + m1 + a1 + 物1 + p1 + s1 + v2 + v3 + v4 + v5,v1 + 什麼 + p1 + s1 + v2,物1
109,有_vyou1 一_m1 隻_q1 小_a1 烏鴉_物1 找到_v1 一_m2 塊_q2 肉_物2,小烏鴉找到甚麼,肉,vyou1 + m1 + q1 + a1 + 物1 + v1 + m2 + q2 + 物2,a1 + 物1 + v1 + 什麼,物2
110,烏鴉_人1 聽到_v1 狐狸_人2 說_v2 他_人3 的_u1 歌聲_物1 很_d1 好聽_a1 ，_w1 心裡_物2 很_d2 高興_a2,烏鴉聽到狐狸說他什麼心裡很開心?,歌聲,人1 + v1 + 人2 + v2 + 人3 + u1 + 物1 + d1 + a1 + w1 + 物2 + d2 + a2,人1 + v1 + 人2 + v2 + 人3 + 什麼 + 物2 + d1,物1
111,橋_人1 的_u1 這_人2 一_m1 頭_q1 ，_w1 有_vyou1 一_m2 隻_q2 白狗_物1,橋的這一頭有一隻什麼?,白狗,人1 + u1 + 人2 + m1 + q1 + w1 + vyou1 + m2 + q2 + 物1,人1 + u1 + 人2 + m1 + q1 + vyou1 + m1 + q2 + 什麼,物1
112,橋_人1 的_u1 那_人2 一_m1 頭_q1 ，_w1 有_vyou1 一_m2 隻_q2 黑_a1 狗_物1,橋的那一頭有一隻什麼?,狗,人1 + u1 + 人2 + m1 + q1 + w1 + vyou1 + m2 + q2 + a1 + 物1,人1 + u1 + 人2 + m1 + q1 + vyou1 + m1 + q2 + 什麼,物1
113,白狗_人1 要_v1 過_v2 橋_物1 ，_w1 黑_a1 狗_人2 也_d1 要_v3 過_v4 橋_物2,誰要過橋?,白狗,人1 + v1 + v2 + 物1 + w1 + a1 + 人2 + d1 + v3 + v4 + 物2,誰 + v1 + v2 + 物1,人1
