原文斷詞,原文出題
獅大王，你不要怕，我來救你了,誰來救你了?
小方在學校裡，學會了很多詞語,小方在學校學會什麼?
爸爸在院子裡澆花,爸爸在院子裡做什麼?
爸爸對我們說：「種樹很重要，我們來種樹吧！」,爸爸說什麼很重要?
有的大象跟著音樂跳舞,大象跟著什麼跳舞?
他把許多小石子，放到水瓶裡,他把什麼放進水瓶裡?
他們也來看動物,他們也來看什麼?
在動物園裡，我看到可愛的山羊高大的水牛,在動物園我們看到什麼?
還看到許多小猴子在樹上跳來跳去,看到什麼在樹上跳?
橋的東邊，有一隻白羊,橋的東邊有什麼?
我天天背著我的家，我愛我的家,我天天背著什麼?
大家一看到老師，都向老師合掌行禮,大家看到老師都做什麼?
房屋也變小了,什麼也變小了?
我和姐姐做了一張卡片,我和姊姊做了什麼?
時間一過去，再也不回頭,什麼再也不回頭?
古人利用影子看時間,古人利用什麼看時間?
螞蟻收到他的信,螞蟻收到他的什麼?
也沒有人穿拖鞋,也沒有人穿什麼?
進佛寺裡要脫鞋子,進佛寺要脫什麼?
我跟著大家雙手合掌,我跟著大家做什麼?
烏雲一片片的聚在一起,什麼一片片聚在一起?
當地上的螞蟻急急忙忙的搬家,地上的螞蟻急急忙忙在做什麼?
我和表姐跟在一旁撿樹枝、掃落葉,我和表姊在一旁做什麼?
他的身體變成山脈,他的身體變成什麼?
山羊很想當科學家,山羊很想當什麼?
他很高興的對著海洋說：「我是個海洋專家了！」,我是個什麼專家?
但是你只是看到海的外表，這樣不能成為海洋專家的,只是看到海洋的什麼?
去了解海裡物的活動,去海裡了解什麼的活動?
從前有兩個和尚,何時有兩個和尚
海灘上遍滿黑色的石頭,海灘變滿黑色的什麼?
最後車子停在海邊,最後什麼停在海邊
車子停在阿里山上,什麼停在阿里山上
紅雲變成橘色的雲,什麼漸漸變成橘色的雲
帶來人群的快樂和奮勉,帶來人群的什麼和勤勉
人有兩件寶，雙手和大腦,人有幾件寶?
他的回答總是：「好！馬上。」,他的回答總是什麼?
那是他舒服的家,那是他的什麼?
今天是初一，我們要穿上新衣服,初一要穿上什麼?
一大早，我們穿上大衣,一大早我們穿上什麼?
天上的雲翻動著,天上的什麼翻動著?
明天是小方的生日,小方的生日是什麼時候?
小亮說：「我明天再告訴你。」,小亮說什麼時候告訴你?
天越升越高,什麼東西越升越高?
和尚取得一些經書回來了,誰取得一些經書回來了
和尚取得一些經書回來了,和尚取得一些什麼東西回來了
榴槤外表並不好看,什麼東西外表並不好看
聽說榴槤很有營養,聽說什麼東西很有營養
在寒冷的冬天裡,在寒冷的什麼時候裡?
我在院子裡拍皮球,誰在院子裡拍皮球?
我希望能和同學一起讀書，一起遊戲,希望能和誰一起讀書?
小花貓睡得更香甜了,誰睡得更香甜了?
小鳥喘著氣說：「我飛了好久，好累喔！」,誰飛了好久好累?
我和姐姐想送給媽媽一樣禮物,誰和姊姊送給媽媽一樣禮物?
我和表姐跟在一旁撿樹枝、掃落葉,誰撿樹枝、掃落葉?
我們吃了簡便的早餐,誰吃了簡便的早餐
你從廣大的田野流過,誰從廣大的田野流過
你從都市的邊緣流過,誰從都市的邊緣流過
李冰想出了一個辦法,誰想出了一個辦法
我吸了一口氣,誰吸了一口氣?
請你放了我吧,請你放了誰吧?
小猴看到蝴蝶飛走了，很傷心，坐在地上大哭,誰坐在地上大哭?
小猴看到蝴蝶飛走了，很傷心，坐在地上大哭,誰飛走了很傷心?
這時有一隻飢餓的蚱蜢,有一隻飢餓的誰?
我的書包裡，有書也有筆,我的書包裡有什麼?
樹很高，我們不要爬上去,什麼很高不要爬上去?
草地很漂亮，我們不要去踩它,什麼很漂亮不要去採它?
小方趕了十頭牛在路上走,小方趕了幾頭牛?
那人問：「草在哪裡？」,那人問什麼在哪裡?
爸爸帶我去李爺爺家看大象,爸爸帶我去看什麼?
大象用鼻子拿起彩色筆畫圖,大象用什麼拿起彩色筆?
媽媽買了香蕉拿給大象,媽媽買了什麼拿給大象?
烏鴉正想找水喝的時候,烏鴉正想做什麼的時候?
我有一個可愛的家,我有一個可愛的什麼?
我每天辛苦的背著小房子走路,我每天背著什麼走路?
我背著小房子爬樹,我背著什麼爬樹?
我看到路上有一種車,我在哪看到一種車?
新學期，我有新希望,新學期我有新的什麼?
有一天，爸爸帶我去山上工作,爸爸帶我去山上做什麼?
爸爸對我說：「你可以帶彩色筆去山上畫畫。」,可以帶什麼去山上畫畫
山下的河流變小了,山下的什麼變小了?
我畫了一張畫,我畫了一張什麼?
小鵝看花不想走,小鵝看什麼不想走?
每一顆水珠都像珍珠一樣閃閃發光,水珠像什麼一樣閃閃發光?
看到的只是一個圓圓的小天空,看到的只是一個什麼?
影子移動得很快，大家一定要愛惜光陰，努力學習。,大家要愛惜什麼努力學習?
外婆家種了很多橘子樹,外婆家種了很多什麼?
老師在黑板上畫了一條直線,老師在黑板畫了什麼?
大家光著腳走進去,大家光著什麼走進去?
一圈圈的年輪，告訴你樹有多少年紀了,一圈圈的年輪告訴你什麼?
接著大家依長幼順序，很恭敬的在爺爺、奶奶的墓前鞠躬,依什麼在墓前鞠躬?
讓他信心滿滿度過每一個難關,信心滿滿度過每一個什麼?
上面那一半就成了天,上面那一半成了什麼?
天和地好像又要合在一起了,天和地好像又要?
夸父喝光了河水,夸父喝光了什麼?
他靠著兩條腿,他靠著兩條什麼?
要一些粗糙的食物吃,要一些粗糙的什麼吃?
這些水果很受觀光客的喜愛,這些什麼很受觀光的喜愛?
紅毛丹，長得像一團團紅毛球,什麼長得像一團團紅毛球?
打開外皮可以看到白色果肉,打開什麼可以看到白色果肉
打開外皮可以看到白色果肉,打開外皮可以看到白色的什麼
山竹的外皮是深紅色,山竹的什麼是深紅色
波羅蜜也是神奇的水果,波羅蜜也是神奇的什麼
我們吃了簡便的早餐,我們吃了簡便的什麼
日出的奇景就要登場了,日出的什麼就要登場了?
雲的四周閃耀著金光,什麼的四周閃耀著金光
冬天，山上了很多雪,何時，山上積了很多雪
冬天，山上了很多雪,冬天，山上積了很多什麼
請我們上台，說出自己的姓名,上台說出自己的什麼?
小山羊看見自己的頭上有了一對小角,山羊看見頭上有什麼?
有一天，小方讀著書裡的句子,小方讀著書裡的什麼?
這裡有很多爺爺的朋友,這裡有很多爺爺的什麼?
所以在這裡辦了華文學校,在這裡辦了什麼學校?
字典就像是你的老師,字典像是你的什麼?
字典就像是你的老師,什麼像是你的老師?
它可以教你認識很多的字,他可以教你認識很多什麼?
當我不知道「瓢」是什麼意思,我不知道什麼的意思?
爺爺給了我一個紅包,爺爺給了我一個什麼?
爸爸媽媽也給我們紅包,爸爸媽媽也給我們什麼?
我的眼睛盯著雲海,我的眼睛盯著什麼?
大地變成了彩色的世界了,大地變成彩色的什麼了?
今天老師說了一個笑話,老師什麼時候說了一個笑話?
下過雨，太陽出來了,下過雨什麼東西出來了?
大象用鼻子拿起彩色筆畫圖,大象用鼻子拿起什麼東西?
春天太陽照在花兒上，花兒開得更美麗,什麼時候太陽照在花兒上?
秋天太陽照在果樹上，果子熟得更快了,什麼東西熟得更快了?
清早蜘蛛網上有許多水珠,什麼時候蜘蛛網上有許多水珠?
紅毛丹，長得像一團團紅毛球,紅毛丹長得像一團團什麼東西?
山竹的外皮是深紅色,什麼東西的外皮是深紅色
一個波羅蜜有十斤左右,一個什麼東西有十斤左右
車子前方出現一座小島,什麼東西的前方出現一座小島
爸爸說，他小時候上學，看見老師，會向老師行禮,爸爸小時候上學看見誰會行禮?
他聽到媽媽說：「我買了一件新衣服，很滿意。」,誰買了一件新衣服?
我做一條船，送給弟弟坐，弟弟，弟弟！你要到哪裡？,弟弟坐船要到哪裡?
他聽到哥哥說：「我跟校長一起照相，很神氣。」,哥哥跟誰一起照相很神氣?
你也要把我放在你心裡,你要把我放在誰心裡?
妹妹高興的說：「以後叔叔你不要來接我們，我們就可以坐嘟嘟車了。」,誰不要叔叔開車來接我們?
育幼院就是他們的家,育幼院就是誰的的家?
我終於明白什麼是「誠實」了,誰終於明白什麼是誠實了?
他使出全身的力量跑,誰使出全身的力量跑?
可惜他還沒跑到大海,可惜誰還沒跑到大海
我也想去南海拜佛取經,誰也想去南海拜佛取經?
我們從車裡向外看,誰從車裡向外看
他父親是教聾啞人說話的專家,誰是教聾啞人說話的專家
貝爾在另外一個房間研究電路,誰在另外一個房間研究電路
還說我最喜歡的事,還說誰最喜歡的事?
老師對我說：「小方，你說得很清楚。」,老師說誰說得很清楚?
小猴看到蝴蝶從他眼前飛過,誰看到蝴蝶從他眼前飛過?
他請螞蟻分一些食物給他,他請誰分食物給他?
還有一個小皮球，也在我的書包裡,什麼也在我的書包裡?
他聽到爸爸說：「我做完一件事，很得意。」,爸爸說做完什麼很得意?
他怕少了牛，一面走，一面數,他一面走一面數怕什麼?
畫家說：「我畫一頭牛在吃草。」,畫家說他畫什麼在吃草?
那個人又問：「牛在哪裡？」,那個人又問什麼在哪裡?
我的家小小的，只有一個房間,我的家只有一個什麼?
我背著小房子找食物,我背著小房子找什麼?
爸爸對我說：「你可以帶彩色筆去山上畫畫。」,可以帶彩色筆去山上做什麼?
看到陰影移動，就知道時間過去了,看到什麼移動就知道時間過了?
我們把採下的茶葉放在院子裡晒乾,把茶葉放在院子裡做什麼?
房裡就飄著茶葉的香味,房裡飄著什麼的香味?
要下雨了，出門別忘了帶把傘,要下雨了出門別忘記什麼?
你看到樹枝長出紅色或綠色的新芽,樹枝長出什麼色的新芽?
媽媽和姑姑趕忙拿出鮮花、水果等祭品,媽媽和姑姑拿出什麼祭品?
抬眼一望，遠山青翠的綠色，被春雨洗得更鮮明,山被什麼洗得更鮮明?
他想以後就有好日子過了,他想以後有什麼日子過了?
他一向是拿其他的動物當餐點的,他一向是拿什麼當餐點?
山羊就寫成了一本很有用的「海洋研究」了,山羊寫成了一本什麼書?
今天老師帶我們去參觀育幼院,老師何時帶我們去參觀育幼院?
今天老師帶我們去參觀育幼院,老師什麼時間帶我們去參觀育幼院?
我問父親：「做人什麼要誠實？」,誰問父親做人為什麼要誠實
我問父親：「做人什麼要誠實？」,我問誰做人為什麼要誠實
夸父拿著手上的大木棒,夸父拿著手上的什麼?
他想去南邊的大海喝水,他想去南邊的大海做什麼
車子走在海邊的公路上,什麼走在海邊的公路上
像是怪獸長滿了鱗片,像是怪獸身上長滿了什麼?
立刻濺起好幾丈高的煙霧,立刻濺起好幾仗高的什麼
小島三面都被海水圍繞,小島三面都被什麼圍繞
耳邊聽到的是呼呼的風聲,耳邊聽到的是呼呼的什麼
只有附近幾戶人家亮著燈火,只在附近幾戶人家亮著什麼?
看到天上的灰雲轉換成紫雲,看到天上的什麼轉換成紫雲
看到天上的灰雲轉換成紫雲,看到天上的灰雲轉換成什麼
山的另一邊白雲湧起,山的另一邊什麼湧起
爺爺是在一九四九年離開家鄉的,爺爺是在何時離開家鄉的?
他們在這裡開墾，種植農產品,他們在這裡開墾，種植什麼
淹沒了附近的農田和房屋,淹沒了附近的什麼和房屋
淹沒了附近的農田和房屋,淹沒了附近的農田和什麼
到了夏天，積雪變成了水,到了夏天，什麼便成了水
慢慢的說出我的姓名、家裡有幾個人,慢慢的說出我的什麼?
從水裡看見自己的倒影,從水裡看見自己的什麼?
有一天，在泥土裡的種子醒來了,在泥土裡的什麼醒來了?
小老鼠用他尖利的牙,小老鼠用他尖利的什麼?
他請螞蟻分一些食物給他,他請螞蟻分什麼給他?
李爺爺家的門口貼了春聯,李爺爺家門口貼了什麼?
房裡也貼了很多的「福」字和「春」字,房裡貼了很多什麼字?
我要趕快把美麗的彩虹畫下來,我要趕快把什麼東西畫下來?
外皮長了一根根尖利的刺,什麼東西長了一根根尖利的刺
電報已經通行了三十多年,什麼東西已經通行了三十多年
到了夏天，積雪變成了水,到了什麼時候，積雪便成了水
青蛙在井裡每天抬起頭來,誰在井裡抬起頭來?
我看到路的兩旁插滿了國旗,誰看到路兩旁插滿了國旗?
最後小美說：「我想把這一條線變成一條小河,誰說這一條線可以變成小河?
大家都喜歡和誠實的人做朋友,誰都喜歡跟誠實的人做朋友?
他想去南邊的大海喝水,誰想去南邊的大海喝水
所以我們要做一個勤勞的人,所以誰要做一個勤勞的人
李冰先仔細察看這條河流的水道,誰先仔細查看這條河流的水道
小猴看到蝴蝶飛走了，很傷心，坐在地上大哭,誰看到蝴蝶飛走了很傷心?
螞蟻問：「整個夏天和秋天，我一直忙著找食物，你在做什麼？」,螞蟻夏天跟秋天忙著做什麼?
他喝不到瓶裡的水,他喝不到瓶裡的什麼?
烏鴉聽到狐狸說他的歌聲很好聽，心裡很高興,烏鴉聽到狐狸說他什麼心裡很開心?
有時白雲飄過來，有一半的山在雲的上面,有一半的山在什麼的上面?
我把大自然畫在紙上了,我把什麼畫在紙上了?
我看到路的兩旁插滿了國旗,我看到路兩旁插滿了什麼?
我對爸爸說：「我覺得泰國的國旗，是最漂亮的國旗。」,我覺得最漂亮的是哪國國旗?
游起水來身子挺得直,游起水來什麼挺得直?
小亮接著說：「我想這一條線可以變成一座城堡,小亮說這一條線可以變成什麼?
最後小美說：「我想把這一條線變成一條小河,小美說這一條線可以變成什麼?
爸爸和小叔叔拿著剪刀修剪花木,爸爸和叔叔拿著什麼修剪花木?
像遊客來來往往，是一群群的彩魚。,像遊客來來往往，是一群群的什麼?
於是跑到北邊的大河去喝水,於是跑去北邊的大河去做什麼?
如果肚子餓了，就拿著缽,如果肚子餓了，就拿著什麼
打開外皮，可以看到雪白的果肉,打開什麼，可以看到雪白的果肉
打開外皮，可以看到雪白的果肉,打開外皮，可以看到雪白的什麼
旅社的服務員用電話叫我們起床,旅社的服務員用什麼叫我們起床
松針和青苔把河水染綠了,什麼和青苔把河水染綠了
松針和青苔把河水染綠了,松針和什麼把河水染綠了
松針和青苔把河水染綠了,松針和青苔把什麼染綠了
李先生的好脾氣是很有名的,李先生的什麼是很有名的
李冰先仔細察看這條河流的水道,李冰先仔細查看這條河流的什麼
原來河流是從高山上流下來的,原來什麼是從高山上留下來的
有一個人拿著一根長竹竿要進城,有一個人拿著什麼要進城?
這時地上的樹枝把他弄痛了,地上的什麼把他弄痛了?
鄰居們覺得他的好脾氣真是稀奇,鄰居們覺得他的什麼東西真是稀奇
小烏鴉正要吃這塊肉時，被樹下的狐狸看到了,烏鴉正要吃肉時被誰看到了?
小亮接著說：「我想這一條線可以變成一座城堡,誰說這一條線可以變成城堡?
就跟著大家一同到山上看日出,就跟著誰一同到山上看日出
貝爾和他的朋友華生開始研究電話,誰和他的朋友華生開始研究電話
在另一個房間剛要睡覺的華生,在另一個房間剛要睡覺的誰
老師對我說：「小方，你說得很清楚。」,誰對我說你說得很清楚?
他聽到媽媽說：「我買了一件新衣服，很滿意。」,媽媽說買了一件什麼很滿意?
橋的這一頭，有一隻白狗,橋的這一頭有一隻什麼?
小方先舉手說：「老師，這一條線可以變成一隻大手,小方說這一條線可以變成什麼?
這句話，使我認識互助的力量這句話，使我認識互助的力量，朋友的可貴,這句話使我認識什麼的力量?
很久以前，我們的世界是天地連在一起的,很久以前我們的世界是什麼樣的?
大家站在河邊，輕輕的把水燈河裡,大家站在河邊，輕輕的把什麼放入河裡?
紅色珊瑚的附近，有張開的海葵。,紅色珊瑚的附近，有張開的什麼?
從前有一個人，種了許多漆樹。,從前有一個人，種了許多什麼?
如果我賣假漆，我就是騙子,如果我賣什麼，我就是騙子?
就把十幾斤的波羅蜜掛在樹上,就把十幾斤的什麼掛在樹上
層層浮雲的背後，透出紅紅的亮光,層層什麼的背後，透出紅紅的亮光
層層浮雲的背後，透出紅紅的亮光,層層浮雲的背後，透出紅紅的什麼
我們是很有福氣的一群人,我們是很有什麼的一群人
沒想到他伸手去擦服務生的袖子,沒想到他伸手去擦服務生的什麼
貝爾和他的朋友華生開始研究電話,貝爾和他的朋友華生開始研究什麼
聽到桌子上的受話器傳來貝爾的聲音,聽到桌子上的什麼傳來貝爾的聲音
聽到桌子上的受話器傳來貝爾的聲音,聽到桌子上的受話器傳來貝爾的什麼
古代秦國的土地上有一條河,何時秦國的土地上有一條河
古代秦國的土地上有一條河,古代秦國的土地上有一條什麼
平時水少，就走一條水道,什麼時間水少，就走一條水道
小方知道了，讀書時要清楚每一個詞語，才能學好中文,小方知道要清楚什麼才能學好中文?
老爺爺們為了讓子孫有機會學中文,老爺爺們為了讓子孫有機會學什麼?
還圍上了媽媽為我們做的圍巾,圍上了媽媽為我們做的什麼?
貝爾和他的朋友華生開始研究電話,貝爾和他的朋友什麼人開始研究電話
泰國還有一種被稱為「果后」的水果,泰國還有一種被稱為果后的什麼東西
農人和懶惰做朋友，收穫就減少,農人和懶惰做朋友，什麼東西就減少
小鳥看了看井裡的青蛙說：「你住在井裡，沒有看見外面的世界,誰住在井裡沒有看見外面的世界?
小方先舉手說：「老師，這一條線可以變成一隻大手,誰說這一條線可以變成大手?
你吃了我，就是不聽天帝的話,吃了我就是不聽誰的話?
保母說：「他們是來和你們做朋友的。」,誰說他們是來和你們做朋友的?
你誠實，我就喜歡跟你做朋友,誰誠實，我就喜歡跟你做朋友?
你誠實，我就喜歡跟你做朋友,你誠實，誰就喜歡跟你做朋友?
我慢慢長大了，開始懂得爺爺的心情,誰慢慢長大了，開始懂得爺爺的心情
商人和它做朋友，業績就會減少,商人和誰做朋友，業績就會減少
他的態度就像對待自己的孩子一樣,誰的態度就像對待自己的孩子一樣
貝爾出生在英國，二十四歲才來到美國,誰出生在英國，二十四歲才來到美國
後來找到了李冰，便派他去治水,後來找到了誰，便派他去治水
後來找到了李冰，便派他去治水,後來找到了李冰，便派誰去治水
因為他整治河流，解除了大家的痛苦,因為誰整治河流，解除了大家的痛苦
陽光移動的時候，竹竿的影子就會跟著移動,陽光移動的時候什麼就會跟著移動?
他們看到竹竿影子的長短，就知道時間的早晚了,他們看到什麼的長短就知道時間的早晚?
盤古死了以後，他的眼睛變成了太陽和月亮,盤古死了以後，他的眼睛變成?
正當山羊興奮的時候，海裡的大魚游上來,正當山羊興奮得時候，海裡的什麼游上來?
再把長長的樹葉，摺成蓮花的花瓣,再把長長的什麼，摺成蓮花的花瓣?
雙手合十向神明許願，請求神明的保佑,雙手合十向神明許願，請求神明的什麼?
獅子魚不像獅子，卻像一隻花蝴蝶。,獅子魚不像獅子，卻像一隻什麼?
小朋友看見我們，就扯扯保母的衣角,小朋友看見我們，就扯扯保母的什麼?
夸父的身子就變成了一座大山,夸父的什麼就變成了一座大山
一個和尚很有錢，另外一個和尚很窮,一個和尚很有什麼，另外一個和尚很窮
泰國的榴槤，可是世上最獨特的水果,泰國的什麼，可是世上最獨特的水果
泰國的榴槤，可是世上最獨特的水果,泰國的榴槤，可是世上最獨特的什麼
水光閃閃，像是怪獸長滿了鱗片,水光閃閃，像是怪獸身上長滿了什麼?
工人和懶惰做朋友，產品就會粗陋,工人和懶惰做朋友，什麼就會粗陋
商人和它做朋友，業績就會減少,商人和它做朋友，什麼就會減少
朋友們以為他是要擦自己的衣服,朋友們以為他是要擦自己的什麼
他的態度就像對待自己的孩子一樣,他的什麼就像對待自己的孩子一樣
把水引到田裡，使荒地變成農田,把什麼引到田裡，使荒地變成農田
把水引到田裡，使荒地變成農田,把水引到田裡，使什麼變成農田
把水引到田裡，使荒地變成農田,把水引到田裡，使荒地變成什麼
因為他整治河流，解除了大家的痛苦,因為他整治什麼，解除了大家的痛苦
媽媽說：「大地開滿了花，就是春天來了。」,大地開滿了花就是什麼時候來了?
只帶了缽和木杖，動身到南海去了,只帶了什麼東西和木杖，動身到南海去了?
告訴我，你有什麼困難，讓我來幫助你,告訴我你有什麼讓我來幫助你?
有一個小女孩，跑過來撲在我身上,有一個小女孩，跑過來撲在誰身上
小女孩的呼喚聲也在我的耳邊響起,小女孩的呼喚聲也在誰的耳邊響起
我覺得我們有父母的愛護，真是太幸福了,我覺得有誰的愛護，真是太幸福了
你什麼都沒有，竟然要去南海拜佛取經,誰什麼都沒有，竟然要去南海拜佛取經
李冰教河流兩岸的老百姓，挖了許多水溝,誰教河流兩岸的老百姓，挖了許多水溝
十一月十六日那天晚上，月亮圓，也特別亮,十一月十六日的何時，月亮特別圓，也特別亮?
媽媽告訴我們，原本放水燈是要祭拜河神的,媽媽告訴我們，原本放什麼是要祭拜河神的?
燈籠魚日夜不分，出門都帶著燈籠。,燈籠魚日夜不分，出門都帶著什麼?
獅子魚不像獅子，卻像一隻花蝴蝶。,獅子魚不像什麼，卻像一隻花蝴蝶?
如果不給好臉色，就不算是孝順了。,如果不給好的什麼，就不算是孝順了?
夸父拿著手上的大木棒，開始追太陽,夸父拿著手上的什麼，開始追太陽?
泰國還有一種被稱為「果后」的水果，叫山竹,泰國還有一種被稱為果后的水國，叫什麼
到了夏天，積雪變成了水，水往下流,到了夏天，什麼便成了水，水往下流
李冰教河流兩岸的老百姓，挖了許多水溝,李冰教河流兩岸的老百姓，挖了許多什麼
窮和尚到了南海，取得一些經書回來了,窮和尚到了南海，取得一些什麼東西回來了
上菜不小心，把一碗熱湯打翻了,上菜不小心，把一碗什麼東西打翻了
也就是人類有了第一架電話機的日子。,也就是人類有了第一架什麼東西的日子
到了夏天，積雪變成了水，水往下流,到了什麼時候，積雪便成了水，水往下流
你仔細看，森林裡的動物，哪一個見了我，膽敢不逃命的？,森林裡的動物見了誰膽敢不逃命的?
孔子說：「能養活父母是孝的行為。」,誰說:「 能養活父母是孝的行為。」?
你不誠實，我就不喜歡跟你做朋友,誰不誠實，我就不喜歡跟你做朋友
你不誠實，我就不喜歡跟你做朋友,你不誠實，誰就不喜歡跟你做朋友
他大口大口的喝，一下子就把河水喝光了,誰大口大口的喝，一下子就把河水喝光了?
而我出生在這裡，這裡當然是我的家鄉,而我出生在這裡，這裡當然是我的什麼
但是你只要多替別人想想，氣就消了,但是誰只要多替別人想想，氣就消了
我總覺得，隨便對人發脾氣是不應該的,誰總覺得，隨便對人發脾氣是不應該的
喜歡學習的人，認真觀察的人，隨時可以從大自然的變化中，學到知識,喜歡什麼的人隨時可以從大自然變化學到知識?
十一月十六日那天晚上，月亮圓，也特別亮,十一月十六日那天晚上，什麼特別圓，也特別亮?
我跟家人媽媽精心製作的水燈，到河邊放水燈。,我跟家人提著媽媽精心製作的水燈，到河邊去放什麼?
可愛的小朋友就伸出小手，拉住我們的手,可愛的小朋友就伸出什麼，拉住我們的手
他拿著一根大木棒準備去山上打老虎,有一天，他拿著一根什麼準備去山上打老虎?
他大口大口的喝，一下子就把河水喝光了,他大口大口的喝，一下子就把什麼喝光了?
泰國有很多好吃的水果，可以稱得上是水果王國,泰國有很多好吃的什麼，可以稱得上是水果王國
泰國有很多好吃的水果，可以稱得上是水果王國,泰國有很多好吃的水果，可以稱得上是什麼王國
就在這金光閃閃的浮雲背後，升起一個圓圓的火球,就在這金光閃閃的什麼背後，升起一個圓圓的火球
就在這金光閃閃的浮雲背後，升起一個圓圓的火球,就在這金光閃閃的浮雲背後，升起一個圓圓的什麼
勤勞和商人做朋友，商人的貨物就可以流通,勤勞和商人做朋友，商人的什麼就可以流通
學生和勤勞做朋友，學生的成績就可以進步,學生和勤勞做朋友，學生的什麼就可以進步
但是你只要多替別人想想，氣就消了,但是你只要多替別人想想，什麼就消了
遇到大水時，水自動往兩條水道流去,遇到什麼時，水自動往兩條水道流去
遇到大水時，水自動往兩條水道流去,遇到大水時，什麼自動往兩條水道流去
聽說榴槤很有營養，它還有「果王」之稱呢,聽說什麼東西很有營養，它還有果王之稱呢
